| Original String                       | Start   | End     |
| 28 March to 7 April 1995              | 1995-03-28   | 1995-04-07   |
| 8–19 July 1996                        | 1996-07-08   | 1996-07-19   |
| 1–11 December 1997                    | 1997-12-01   | 1997-12-11   |
| 2–14 November 1998                    | 1998-11-02   | 1998-11-14   |
| 25 October and 5 November 1999        | 1999-10-25   | 1999-11-05   |
| 13–25 November 2000                   | 2000-11-13   | 2000-11-25   |
| 29 October to 10 November 2001        | 2001-10-29   | 2001-11-10   |
| 23 October to 1 November 2002         | 2002-10-23   | 2002-11-01   |
| 1–12 December 2003                    | 2003-12-01   | 2003-12-12   |
| 6–17 December 2004                    | 2004-12-06   | 2004-12-17   |
| 28 November and 9 December 2005       | 2005-11-28   | 2005-12-09   |
| 6–17 November 2006                    | 2006-11-06   | 2006-11-17   |
| 3–15 December 2007                    | 2007-12-03   | 2007-12-15   |
| 1–12 December 2008                    | 2008-12-01   | 2008-12-12   |
| 7–18 December 2009                    | 2009-12-07   | 2009-12-18   |
| 28 November to 10 December 2010       | 2010-11-28   | 2010-12-10   |
| 28 November to 9 December 2011        | 2011-11-28   | 2011-12-09   |
| 26 November to 7 December 2012        | 2012-11-26   | 2012-12-07   |
| 11 to 23 November 2013                | 2013-11-11   | 2013-11-23   |
| 1–12 December 2014                    | 2014-12-01   | 2014-12-12   |
| 30 November to 12 December 2015       | 2015-11-30   | 2015-12-12   |
| 7–18 November 2016                    | 2016-11-07   | 2016-11-18   |
| 6–17 November 2017                    | 2017-11-06   | 2017-11-17   |
| 3–14 December 2018                    | 2018-12-03   | 2018-12-14   |
| 2 to 13 December 2019                 | 2019-12-02   | 2019-12-13   |
| 31 October to 12 November 2021        | 2021-10-31   | 2021-11-12   |
| 6 November until 20 November 2022     | 2022-11-06   | 2022-11-20   |
|30 November until 12 December 2023	| 2023-11-30   | 2023-12-12   |
|11 Nov 2024 – Fri, 22 Nov 2024		| 2024-11-11   | 2024-11-22   |
